Nome do Campo | Tipo (Texto/Número/Data) | Descrição
Startup Name | Texto | Nome fictício ou identificador único da startup.
Industry | Texto | Setor de atuação principal da startup (ex: IoT, EdTech, Gaming).
Funding Rounds | Número | O número total de rodadas de investimento que a startup completou.
Funding Amount (M USD) | Número | O valor total de investimento que a startup recebeu, em milhões de dólares americanos.
Valuation (M USD) | Número | O valor de mercado (valuation) estimado da startup, em milhões de dólares americanos.
Revenue (M USD) | Número | A receita anual reportada da startup, em milhões de dólares americanos.
Employees | Número | O número total de funcionários na startup.
Market Share (%) | Número | A participação de mercado estimada da startup, em percentual.
Profitable | Número | Indica se a startup é lucrativa (geralmente representado por 1) ou não (geralmente representado por 0).
Year Founded | Número | O ano em que a startup foi fundada.
Region | Texto | A região geográfica principal onde a startup está baseada ou opera.
Exit Status | Texto | O status de saída da startup no mercado (ex: Private (ainda privada), Acquired (adquirida por outra empresa), IPO (fez Oferta Pública Inicial)).


Dicionário de Dados – startup_data.csv

| Nome do Campo              | Tipo (Texto/Número/Data) | Descrição                                                              |
| -------------------------- | ------------------------ | ---------------------------------------------------------------------- |
| **Startup Name**           | Texto                    | Nome da startup. Identificador textual único para cada linha.          |
| **Industry**               | Texto                    | Setor principal de atuação da startup (ex.: AI, Gaming, FinTech).      |
| **Funding Rounds**         | Número                   | Número de rodadas de financiamento recebidas pela startup.             |
| **Funding Amount (M USD)** | Número                   | Quantia total recebida em financiamento, em milhões de dólares.        |
| **Valuation (M USD)**      | Número                   | Avaliação de mercado da startup, em milhões de dólares.                |
| **Revenue (M USD)**        | Número                   | Receita anual estimada, em milhões de dólares.                         |
| **Employees**              | Número                   | Total de funcionários da startup.                                      |
| **Market Share (%)**       | Número                   | Participação estimada da startup no seu mercado, em porcentagem.       |
| **Profitable**             | Número (Binário)         | Indicador de lucratividade: 1 = lucrativa; 0 = não lucrativa.          |
| **Year Founded**           | Número                   | Ano de fundação da startup.                                            |
| **Region**                 | Texto                    | Região principal de atuação (ex.: Europa, América do Sul, Ásia).       |
| **Exit Status**            | Texto                    | Situação atual da startup: *Private*, *Acquired* (adquirida) ou *IPO*. |
